ID,Name,Win,Loss,Draw,height,stance,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
1862,Rob MacDonald,5,4,0,6' 3,1,1.8,50,2.04,46,7.19,80,80,5.4
1863,Rory MacDonald,19,4,0,6' 0,1,3.75,42,2.8,62,1.77,47,88,0.4
1864,Ryan MacDonald,10,2,0,5' 11,2,2.28,29,6.49,45,0,0,0,0
1865,Clayton MacFarlane,4,1,0,0,0,1.33,52,1.82,55,1.05,33,37,0
1866,Ilima Macfarlane,6,0,0,5' 4,0,4.13,43,2.93,65,0,0,50,1
1867,Valesca Machado,8,3,0,5' 4,1,2.4,32,2.87,64,0,0,76,0
1868,Caio Machado,8,4,1,6' 4,3,5.82,53,2.87,63,0,0,82,0
1869,Ian Garry,15,1,0,6' 3,1,4.72,54,2.82,51,0.74,54,73,0.5
1870,Lyoto Machida,24,8,0,6' 1,3,2.59,53,1.57,61,1.21,65,75,0.4
1871,War Machine,14,5,0,5' 11,1,2.32,60,3.17,43,1.16,50,40,0
1872,Pauline Macias,4,1,0,5' 4,3,0.8,29,4.6,42,2,18,0,0
1873,Reza Madadi,14,6,0,5' 11,1,2.51,46,3.31,66,3.17,33,89,0.5
1874,Don Madge,9,3,1,6' 0,3,2.08,52,0.74,67,2.22,25,80,0.7
1875,Ryan Madigan,5,3,0,6' 0,1,0,0,3.35,47,0,0,0,0
1876,Victor Madrigal,15,5,0,5' 7,1,2.31,38,9.56,50,0,0,0,0
1877,Jon Madsen,8,2,0,6' 0,1,2.46,41,1.18,81,1.32,71,70,0
1878,Mark Madsen,12,2,0,5' 8,1,3.56,49,3.97,52,2.86,66,62,0
1879,Yoshiro Maeda,35,16,5,5' 7,3,2.36,33,2.55,63,2.93,51,50,0.7
1880,Leonardo Mafra,13,4,0,5' 10,1,4.55,48,4.38,43,2.12,83,69,0.4
1881,Vinny Magalhaes,14,9,0,6' 3,1,2.14,24,3.97,68,1.55,44,66,0.8
1882,Caio Magalhaes,10,3,0,6' 1,1,2.27,40,2.78,56,1.05,15,58,1.6
1883,Bernardo Magalhaes,13,4,0,5' 9,1,1.8,27,3.37,68,0,0,0,0.5
1884,Angela Magana,11,9,0,5' 1,1,1.53,28,4.92,42,0.4,25,28,0.4
1885,Neil Magny,29,14,0,6' 3,1,3.43,46,2.48,51,2.12,38,53,0.2
1886,Raimond Magomedaliev,10,2,0,6' 1,1,4.07,41,4.75,41,0,0,0,0
1887,Ibragim Magomedov,22,8,1,6' 0,1,0.26,4,3.86,42,0,0,0,0
1888,Rashid Magomedov,20,2,0,5' 9,1,4.4,49,3.05,54,0.67,57,89,0.2
1889,Ruslan Magomedov,14,1,0,6' 3,1,4.02,47,1.47,66,0.33,100,88,0
1890,Abus Magomedov,27,6,1,6' 2,1,2.65,44,3.35,55,3.12,64,100,0.3
1891,Shara Magomedov,15,1,0,6' 2,1,6.82,65,4.49,42,0,0,71,0
1892,Zabit Magomedsharipov,18,1,0,6' 1,1,4.89,48,3,64,5.22,56,77,0.8
1893,John Maguire,24,9,0,5' 9,3,1.41,41,2.44,65,2.8,46,77,1.1
1894,Lolohea Mahe,10,4,1,0,0,1.71,29,6.92,40,2.44,40,0,0
1895,Maheshate,10,4,0,6' 0,1,3.86,29,5.64,53,0,0,45,0
1896,Bill Mahood,20,7,1,6' 3,1,1.54,85,3.59,17,0,0,0,3.9
1897,Klayton Mai,8,3,0,5' 9,0,1.53,42,1.02,63,3.83,100,0,7.7
1898,Demian Maia,28,11,0,6' 1,3,1.8,43,2.07,63,2.49,24,61,1
1899,Jennifer Maia,21,10,1,5' 4,1,4.35,38,4.52,55,0.42,27,58,0.1
1900,Nayara Maia,7,1,1,5' 5,1,0.6,36,3.33,43,1,33,0,1
1901,Levan Makashvili,15,2,1,5' 8,1,2.87,54,2.07,61,3.67,42,85,0
1902,John Makdessi,18,9,0,5' 8,1,5.52,49,4.15,68,0,0,86,0
1903,Islam Makhachev,27,1,0,5' 10,3,2.63,58,1.55,61,3.2,53,90,1.1
1904,Aliev Makhmud,0,1,0,5' 6,3,1.12,30,2.24,36,2.1,50,0,0
1905,Zach Makovsky,20,8,0,5' 4,3,1.94,43,2.24,62,3.71,30,56,0.3
1906,Azat Maksum,17,1,0,5' 7,3,2.8,23,5.23,55,2,22,66,0.5
1907,Fabio Maldonado,23,11,0,6' 1,1,5.29,58,4.31,53,0.44,57,61,0.6
1908,Marvin Maldonado,2,4,0,5' 6,0,0.87,56,3.47,43,0,0,20,0
1909,Bea Malecki,4,1,0,5' 9,1,6.84,46,6.96,62,0,0,78,1.1
1910,Nazareno Malegarie,28,4,0,5' 8,0,3.87,34,3.27,69,1,33,0,0
1911,Jacob Malkoun,8,3,0,5' 9,1,3.86,56,2.48,52,6.62,42,20,0.4
1912,Mike Malott,11,2,1,6' 1,1,3.85,46,3.06,53,2.27,56,16,0.8
1913,Troy Mandaloniz,3,2,0,5' 9,1,3.52,56,4.71,63,3.1,66,57,0
1914,Nate Maness,16,3,0,5' 10,1,3.14,50,3.88,42,0.68,75,80,0.7
1915,Michael Mangan,0,3,0,0,0,1.94,33,4.52,46,19.35,50,100,0
1916,Melvin Manhoef,30,14,1,5' 9,1,3.52,48,2.64,51,0.33,25,78,0
1917,Melchor Manibusan,2,4,0,5' 5,3,1.58,54,5.79,15,0,0,0,0
1918,Jon Manley,9,4,0,6' 1,1,1.13,20,4.33,45,1,7,20,0
1919,Steve Mann,12,5,0,6' 1,0,3.18,70,0.66,57,1.64,100,60,0
1920,Marnic Mann,6,3,0,5' 0,3,1.47,41,5.08,31,1.9,33,25,0.4
1921,Dylan Mantello,8,4,0,6' 1,1,4.69,62,4.76,55,0,0,76,0
1922,Chris Manuel,9,7,2,5' 9,1,2.53,40,2.67,66,1,20,100,0
1923,Jimi Manuwa,17,6,0,6' 1,1,3.43,54,3.97,49,0.53,18,70,0.4
1924,Cristiano Marcello,13,6,0,5' 9,1,2.56,33,3.61,58,0.44,11,20,0.9
1925,Daniel Marcos,17,0,0,5' 7,1,5.9,53,4.25,62,0.59,50,88,0
1926,Jose Maria,37,7,0,5' 5,1,3.2,53,3.98,52,2.32,27,33,2.3
1927,Marcos Mariano,6,6,0,6' 1,2,0.25,27,2.11,43,0,0,28,0
1928,Enrique Marin,10,4,0,5' 10,0,1.43,33,3,50,2.5,38,60,1
1929,Chepe Mariscal,17,6,0,5' 7,1,4.75,57,3.24,50,3.09,39,72,0.3
1930,Ronny Markes,17,5,0,6' 1,1,2.17,53,2.43,45,3.13,40,100,0.5
1931,Rory Markham,17,6,0,6' 0,1,1.98,21,10.27,45,0,0,0,0
1932,Randa Markos,11,12,1,5' 4,1,2.97,43,3.1,58,1.12,28,52,0.2
1933,Christina Marks,8,9,0,5' 7,1,5,58,3,64,7.5,100,0,0
1934,Brendon Marotte,8,3,0,5' 9,1,0.41,50,5.7,28,0,0,0,0
1935,Nate Marquardt,35,19,2,6' 0,1,2.71,49,2.32,55,1.87,51,70,0.8
1936,Danilo Marques,11,4,0,6' 6,1,1.44,79,2.52,52,3.93,28,0,0.8
1937,Julian Marquez,9,5,0,6' 2,1,4.85,45,5.06,50,0,0,53,2.6
1938,Carmelo Marrero,16,6,0,6' 0,1,0.84,34,2.04,54,3.21,36,36,0.9
1939,John Marsh,8,7,0,6' 0,1,0.83,42,2.23,40,0.43,100,54,0.4
1940,Eliot Marshall,10,4,0,6' 2,1,1.93,27,2.39,67,0.47,33,79,0.9
1941,Doug Marshall,18,8,0,5' 10,1,6.99,46,4.02,60,0,0,66,2.4
1942,Francis Marshall,8,2,0,5' 9,1,3.69,34,4.16,53,2.68,41,50,0.5
1943,Jack Marshman,23,10,0,6' 0,1,2.74,25,4.19,56,0,0,20,0
1944,Terry Martin,23,11,0,5' 8,1,2.82,43,3.13,54,3.1,42,92,0
1945,Joe Martin,6,8,0,5' 9,0,0.73,40,2.4,45,0,0,16,0
1946,Anthony Rocco Martin,17,6,0,6' 0,1,2.68,37,2.59,58,0.71,27,68,1
1947,Mallory Martin,7,5,0,5' 4,1,4.42,48,6.64,55,2.28,43,25,0.3
1948,Michal Martinek,7,1,0,6' 2,3,2.45,53,4.29,51,0,0,0,0
1949,Danny Martinez,21,8,0,5' 6,1,2.73,28,3.77,63,3,45,36,0
1950,Alonzo Martinez,42,20,1,5' 10,0,3.07,27,7.33,52,0,0,0,0
1951,Henry Martinez,9,4,0,5' 7,3,2.79,25,4.01,60,0,0,80,0
1952,Jonathan Martinez,19,6,0,5' 8,3,4.44,49,4.09,56,0.38,35,68,0.1
1953,Poppies Martinez,29,11,0,5' 9,0,2.88,50,2.16,51,1.54,33,50,9.2
1954,Andrew Martinez,9,6,0,5' 9,0,3.4,31,2.3,47,1.5,50,0,0
1955,Mana Martinez,10,4,0,5' 10,1,4.33,48,4.94,50,0.72,42,25,0.5
1956,Victor Martinez,13,6,0,5' 8,1,7.94,51,7.66,53,0.7,33,80,0
1957,Roque Martinez,15,8,2,5' 10,1,3.28,53,4.9,56,0.38,50,53,0.4
1958,Melissa Martinez,8,1,0,5' 2,3,3.9,52,4.33,55,0.5,50,25,0
1959,Julieta Martinez,8,0,0,5' 1,1,2.53,44,3.6,41,5,45,100,0
1960,David Martinez,11,1,0,5' 6,1,5.27,49,3.07,66,0,0,100,0
1961,Wagner da Conceicao Martins,9,8,0,6' 7,1,1.91,37,5.43,42,2.2,100,100,0
1962,Adriano Martins,28,9,0,5' 10,3,1.8,38,2.14,65,0.83,80,81,0.4
1963,Lucas Martins,19,3,0,6' 0,3,2.87,35,4.14,60,0,0,76,0.5
1964,Bristol Marunde,16,10,0,6' 1,1,1.42,21,4.4,47,1.6,33,14,0
1965,Shoji Maruyama,12,9,1,5' 7,1,1.4,63,0.27,55,0,0,54,0
1966,Kazuma Maruyama,11,7,0,5' 11,1,3.83,41,2.23,53,4.79,33,100,0
1967,Islem Masraf,3,1,0,6' 0,3,0.68,20,3.88,15,0,0,100,0
1968,Mike Massenzio,13,9,0,6' 2,3,2.08,45,3.59,54,2.74,24,50,1.4
1969,Jameel Massouh,26,9,0,5' 10,1,1.91,54,2.62,55,0.67,15,50,0.7
1970,Tiffany Masters,2,1,0,5' 3,1,3.53,62,2.58,50,3.06,60,0,0
1971,Jorge Masvidal,35,17,0,5' 11,1,4.05,47,3.05,64,1.38,59,72,0.3
1972,Al Matavao,8,3,0,5' 8,1,7.84,46,6.7,58,0,0,0,0
1973,Tateki Matsuda,13,8,0,5' 7,1,3.2,34,3.43,69,0,0,16,0
1974,Daijiro Matsui,13,29,7,5' 9,1,0.84,45,1.69,55,1.83,30,43,0.4
1975,Koichiro Matsumoto,15,3,1,5' 7,0,1.9,26,3.5,31,0,0,0,0
1976,Jean Matsumoto,16,0,0,5' 6,1,5.2,40,5.05,46,1.13,27,57,0.4
1977,Koyomi Matsushima,13,6,0,5' 7,1,2.7,47,2.83,59,9,52,33,0
1978,Naoki Matsushita,12,16,11,5' 6,1,3.3,32,2.2,63,1.5,100,0,0
1979,AJ Matthews,8,7,0,5' 11,0,5.11,52,4.96,51,0,0,100,0
1980,Jake Matthews,20,7,0,5' 11,1,3.38,44,2.54,61,1.56,41,64,0.6
1981,Connor Matthews,7,2,0,5' 8,2,5.3,44,6.19,56,2.97,53,50,0.7
1982,Claudio Mattos,5,4,0,0,1,0,0,3.53,0,0,0,0,0
1983,Vladimir Matyushenko,27,8,0,6' 0,1,1.9,44,1.62,59,3.25,46,70,0.1
1984,Miranda Maverick,17,5,0,5' 3,3,3.39,45,2.31,60,2.39,41,44,0.3
1985,Nick Maximov,8,2,0,6' 0,3,1.93,45,2.64,46,4.16,45,35,0.2
1986,Elaina Maxwell,7,4,0,5' 8,1,2.07,60,2.4,53,0,0,50,1
1987,Jack May,9,3,0,6' 8,2,1.52,38,3.29,33,0.91,33,20,0
1988,Don'Tale Mayes,11,7,0,6' 6,1,3.51,43,3.79,46,0.65,38,58,0
1989,Gray Maynard,13,7,1,5' 9,1,1.92,32,2.64,66,2.91,47,81,0.7
1990,Brooke Mayo,0,1,0,5' 7,0,1.92,34,3.2,63,3.2,60,0,2.1
1991,Gina Mazany,7,6,0,5' 6,3,3.73,50,3.52,50,4.34,52,33,0.2
1992,Sabina Mazo,9,4,0,5' 7,1,6.1,43,4.35,57,0.65,80,59,0.2
1993,Francesco Mazzeo,4,1,0,6' 3,1,1.83,44,0.75,65,3.23,50,0,0
1994,Scott McAfee,14,7,0,5' 8,1,0,0,1.33,50,0,0,0,0
1995,Bobby McAndrews,1,3,0,0,1,2.56,83,1.03,50,0,0,33,7.7
1996,Michael McBride,8,3,0,6' 1,1,4.08,48,5.85,40,1.85,42,30,1.2
1997,Ian McCall,13,5,1,5' 5,1,3.59,39,3.25,67,2.08,30,88,0
1998,Molly McCann,14,7,0,5' 4,1,5.39,49,4.72,62,1.84,36,39,0.5
1999,Charles McCarthy,10,5,0,5' 10,1,0.18,12,4.03,56,2.67,60,0,2.7
2000,Sean McCorkle,17,7,0,6' 7,1,0.85,44,2.48,52,2.12,40,33,4.2
2001,Danni McCormack,9,2,0,5' 4,3,6.93,51,4.53,60,6,42,50,2
2002,Kris McCray,8,5,0,6' 0,1,2.69,45,2.57,54,2.88,55,38,0
2003,Tamdan McCrory,14,5,0,6' 4,2,2.07,49,1.6,46,2.28,50,33,2.5
2004,Rob McCullough,19,8,0,5' 9,1,2.47,36,2.84,59,0.46,100,68,0
2005,Justin McCully,11,5,2,6' 1,1,1.58,37,2.02,46,1.28,44,43,0
2006,Robert McDaniel,28,10,0,6' 3,3,1.64,44,1.98,56,0.93,50,50,1.4
2007,Michael McDonald,1,1,0,5' 11,1,0,0,0.4,50,0,0,0,0
2008,Michael McDonald,17,4,0,5' 9,1,2.69,42,2.76,57,1.09,66,52,1.4
2009,Josh McDonald,9,5,0,0,0,0.8,57,3.4,33,9,50,0,0
2010,Miles McDonald,2,1,0,5' 7,0,5.1,45,4,43,0,0,100,1
2011,Justin McElfresh,6,4,0,6' 6,1,4.59,26,12.79,41,0,0,0,0
2012,Drew McFedries,12,7,0,6' 0,3,5.13,51,4.56,52,1.42,100,56,0.7
2013,Liam McGeary,12,2,0,6' 6,0,1.28,48,1.92,50,0.51,100,0,2.5
2014,Gan McGee,13,5,0,6' 10,1,2.2,29,2.31,59,0.65,25,83,0
2015,Court McGee,23,13,0,5' 11,1,4.6,37,3.59,61,1.87,25,69,0.5
2016,Marcus McGhee,10,1,0,5' 8,1,6.06,48,2.83,64,0.46,33,100,0.5
2017,Ryan McGillivray,12,0,1,5' 11,0,1.27,20,2.2,52,0,0,44,0
2018,Ryan McGivern,13,7,0,6' 0,1,2.22,29,2.22,57,0,0,0,0
2019,Conor McGregor,22,6,0,5' 9,3,5.32,49,4.66,54,0.67,55,66,0.1
2020,Greg McIntyre,6,4,0,5' 10,1,0.79,30,1.36,41,5.09,50,0,0
2021,Antonio McKee,29,6,2,5' 8,3,1.37,45,0.74,74,1.47,33,57,0
2022,AJ McKee,8,0,0,5' 10,0,2.75,32,0.92,80,11.01,100,100,11
2023,Rhys McKee,13,6,1,6' 2,1,4.8,45,7.85,42,0,0,41,0
2024,Cory McKenna,8,4,0,5' 3,1,2.94,38,3.68,46,2,47,75,0.4
2025,Tim McKenzie,14,9,0,6' 0,1,1.37,54,2.96,44,0,0,28,2.1
2026,Cody McKenzie,16,10,0,6' 0,2,1.74,34,2.5,67,2.5,25,14,2.5
2027,Terrance McKinney,16,7,0,5' 10,2,4.53,50,2.63,45,3.45,36,85,1
2028,Garreth McLellan,13,6,0,6' 1,3,3.56,54,2.94,45,1.15,22,34,0.9
2029,Sara McMann,13,6,0,5' 6,1,2.26,46,1.92,47,4.38,65,50,0.5
2030,James McSweeney,15,15,0,6' 4,2,3.94,55,4.33,42,0.52,33,100,1.1
2031,Daniel McWilliams,15,37,0,6' 1,0,3.36,77,0,0,0,0,100,21.6
2032,Tim Means,33,17,1,6' 2,1,5.04,49,3.65,60,1.14,40,64,0.2
2033,Yancy Medeiros,15,8,0,5' 10,1,4.36,37,5.67,47,0.33,50,73,0.7
2034,Anistavio Medeiros,19,10,0,5' 6,1,3.64,44,5,47,0,0,0,0
2035,Kaline Medeiros,8,5,0,5' 3,0,2.06,70,0.29,83,4.41,100,0,4.4
2036,MarQuel Mederos,9,1,0,5' 10,1,4.39,45,3.29,63,0,0,90,0
2037,Uros Medic,10,3,0,6' 1,3,5.49,60,3.46,56,0.37,50,55,0
2038,Jose Medina,11,4,0,6' 0,1,1.87,33,4.93,48,0.5,33,31,0
2039,Emil Meek,9,5,1,5' 11,2,2.52,39,2.53,38,0.25,33,47,1
2040,Sanford Alton Meeks,1,1,0,6' 5,1,0.71,42,4.47,38,7.06,25,0,0
2041,Gerald Meerschaert,37,18,0,6' 1,3,3.1,45,3.45,53,2.01,35,42,1.5
2042,Frank Megallon,2,3,0,5' 10,3,1.14,21,5.32,54,0,0,0,0
2043,Derrick Mehmen,19,9,0,6' 4,0,1.93,14,4.53,48,1,16,0,0
2044,Miika Mehmet,3,5,0,0,1,0.33,12,7.29,24,0,0,0,0
2045,Jordan Mein,31,12,0,6' 0,1,3.35,44,2.55,69,1.56,58,66,0.2
2046,Bryce Mejia,3,1,0,6' 1,0,3.49,62,6.98,50,0,0,0,0
2047,Brian Melancon,7,3,0,5' 8,1,4.18,49,3.64,64,2.02,100,66,0
2048,Brandon Melendez,25,25,0,5' 11,3,0.84,26,0.56,63,0,0,25,0
2049,Gilbert Melendez,22,8,0,5' 9,1,3.44,33,2.53,63,1.64,41,71,0.2
2050,Fabio Mello,11,8,0,5' 5,3,0.86,35,3.94,50,0,0,0,0
2051,Vanessa Melo,11,8,0,5' 5,1,3.48,30,6.13,59,0,0,71,0
2052,Antonio Mendes,18,13,0,6' 3,3,1.34,47,6.85,22,2.51,50,100,0
2053,Chad Mendes,18,5,0,5' 6,1,2.78,49,2.35,67,4.13,55,100,0.3
2054,Augusto Mendes,6,2,0,5' 6,1,2.42,34,3.91,56,1.75,33,80,0
2055,Eddie Mendez,8,3,1,5' 10,0,1.71,33,3.43,11,0,0,0,0
2056,Mateus Mendonca,10,3,0,5' 6,1,1.66,40,4.14,30,2.54,27,55,0.4
2057,Alonzo Menifield,15,5,1,6' 0,1,3.77,54,3.7,49,0.63,33,76,0.2
2058,Ivan Menjivar,25,12,0,5' 6,1,2.78,37,2.76,65,0.56,28,38,1
2059,Dave Menne,45,17,2,5' 10,1,1.84,44,1.99,42,0.46,50,57,2.5
2060,Steve Mensing,9,13,2,5' 11,1,0,0,9.51,42,0,0,0,0
2061,Adam Meredith,5,3,0,6' 2,0,2.63,50,2.11,55,7.89,100,100,7.9
2062,Joe Merritt,7,2,0,6' 0,1,1.53,58,0.73,66,0,0,68,0
2063,Jeremiah Metcalf,13,7,0,6' 1,1,1.74,59,0.27,60,4.02,66,100,2
2064,Jonathan Meunier,8,1,0,6' 3,2,3.47,50,1.43,69,0.58,33,58,0
2065,Yaotzin Meza,21,11,0,5' 9,1,1.43,41,1.62,64,1.06,20,18,1.4
2066,Guy Mezger,30,14,2,6' 1,1,2.3,32,1.36,72,0.39,50,88,0
2067,Jonathan Micallef,7,1,0,6' 0,3,0.33,25,1.66,16,4.97,50,50,5
2068,Andreas Michailidis,13,6,0,6' 0,1,2.9,51,3.57,44,1.12,27,50,0
2069,David Michaud,11,3,0,5' 9,1,3.25,43,4.45,54,2.53,58,77,0.7
2070,Chris Mickle,30,21,2,5' 9,1,3.03,27,9.7,48,0,0,0,0
2071,Zachary Micklewright,15,3,0,6' 0,3,5.56,53,4.72,54,0.7,12,100,0
2072,Kristof Midoux,6,10,0,6' 1,1,0.7,43,2.89,49,0,0,0,0
2073,Chris Mierzwiak,5,3,0,6' 1,0,1.6,61,1.73,48,2,28,0,1
2074,Bojan Mihajlovic,10,6,0,5' 11,1,1.23,35,5.95,47,0,0,33,0
2075,Billy Miles,2,2,0,5' 10,1,0,0,1.25,33,0,0,0,0
2076,Pat Miletich,29,7,2,5' 10,1,1.79,45,1.66,63,1.96,100,54,1
2077,Curtis Millender,17,5,0,6' 2,1,3.86,46,2.95,61,0.43,100,57,0
2078,Phillip Miller,16,0,0,5' 11,1,1.61,54,1.93,50,3.62,25,100,0.6
2079,Jason Miller,23,10,0,6' 1,1,1.83,43,2.3,49,1.31,28,43,1.3
2080,Dan Miller,14,8,0,6' 1,1,2.03,36,3.06,49,1.67,54,47,1.8
2081,Jim Miller,38,18,0,5' 8,3,2.99,42,3.51,56,1.52,44,49,1.7
2082,Cole Miller,21,11,0,6' 1,1,3,33,3.88,59,0.6,36,38,1.8
2083,Henry Miller,6,16,0,5' 7,3,1.25,36,2.16,54,0.55,25,60,0
2084,Micah Miller,20,8,0,6' 0,1,1.33,33,2.15,54,0.98,37,21,2
2085,Mo Miller,6,0,0,5' 8,1,1.87,45,1.33,60,4,80,0,0
2086,Juliana Miller,4,3,0,5' 7,1,3.31,45,4.75,32,1.84,44,0,1.8
2087,Eddy Millis,0,2,0,6' 1,0,0,0,3.36,22,0,0,0,7.2
2088,Che Mills,16,10,0,6' 1,1,2.08,52,2.87,43,1.18,66,58,0
2089,Adam Milstead,8,4,0,6' 3,1,3.85,46,4.79,43,0,0,64,0
2090,Alberto Mina,13,1,0,6' 0,1,3.23,38,3.7,47,1.85,20,50,0
2091,Darrick Minner,26,14,0,5' 7,1,2.63,65,2.28,35,2.4,72,66,2.7
2092,Ikuhisa Minowa,60,42,8,5' 9,1,0.88,40,1.66,49,1.82,41,5,1.9
2093,Carlton Minus,10,3,0,5' 10,1,3.5,40,4.97,50,0,0,58,0
2094,Stipe Miocic,20,5,0,6' 4,1,4.67,52,4.01,52,1.74,34,65,0
2095,Frank Mir,18,11,0,6' 3,3,2.18,47,3.84,38,2.02,40,54,2
2096,Mario Miranda,14,7,0,6' 3,1,1.96,54,2.46,36,1.02,60,54,0
2097,Vitor Miranda,12,5,0,6' 1,1,2.98,45,2.95,58,0.95,55,50,0.2
2098,Gabriel Miranda,17,7,0,5' 11,1,2.82,40,5.3,37,3.85,33,0,1.3
2099,Damir Mirenic,9,4,0,6' 0,1,0.84,50,9.86,35,0,0,0,0
2100,Kazuo Misaki,25,11,2,5' 8,1,2.85,40,2.74,63,0.72,38,51,0.6
2101,Toby Misech,9,5,0,5' 8,3,3.27,40,7.73,46,0,0,0,0
2102,Dokonjonosuke Mishima,21,7,2,5' 7,3,1.06,41,1.22,52,2.47,40,25,1.4
2103,David Mitchell,22,7,0,6' 0,1,1.74,32,2.06,55,0.66,50,29,2
2104,Danny Mitchell,19,9,1,6' 2,1,2.53,49,2.53,52,0,0,100,3
2105,Brad Mitchell,4,2,0,5' 11,0,1.15,33,4.2,52,0,0,100,1.9
2106,Clay Mitchell,1,2,0,6' 2,0,1.63,85,0,0,0,0,100,4.1
2107,Bryce Mitchell,17,3,0,5' 10,3,2.31,59,1.53,60,3.39,43,33,1.4
2108,Maurice Mitchell,11,2,0,5' 9,1,3.8,55,3.54,60,0,0,100,0
2109,Terrence Mitchell,14,4,0,5' 10,1,2.21,34,8.85,41,3.69,50,0,0
2110,Roman Mitichyan,8,3,0,5' 10,1,0.26,16,2.7,43,1.93,100,25,1.9
2111,Matt Mitrione,12,5,0,6' 3,2,3.55,50,2.79,64,0,0,55,0.7
2112,Eiji Mitsuoka,18,9,2,5' 7,3,1.49,49,2.26,45,2.3,36,20,1.6
2113,Hiromitsu Miura,12,7,0,5' 9,1,2.12,34,2.12,58,2.23,50,69,0.6
2114,Tomoya Miyashita,17,9,7,5' 7,3,1.67,65,0.93,33,4,80,0,2
2115,Kazuyuki Miyata,15,9,0,5' 8,1,2.04,52,1.82,63,4.31,46,68,0
2116,Motoki Miyazawa,7,3,0,5' 11,3,1.23,28,3.91,61,0,0,0,0
2117,Takeya Mizugaki,21,11,2,5' 7,1,3.37,37,3.27,57,1.46,57,70,0.1
2118,Mizuki,15,6,0,5' 3,1,4.56,50,5.62,48,0.33,14,85,0
2119,Tatsuya Mizuno,16,12,1,6' 1,3,2.25,37,3.52,53,1.19,25,40,3.6
2120,Roxanne Modafferi,25,21,0,5' 7,1,3.35,30,5.7,51,1.35,23,30,0.1
2121,Bobby Moffett,13,5,0,5' 10,1,3.41,39,3.15,61,2.74,66,66,1.4
2122,Nate Mohr,9,7,0,5' 9,1,3.79,41,2.5,74,0.45,50,71,0
2123,Renato Moicano,20,6,1,5' 11,1,4.36,48,3.55,60,1.82,44,71,0.6
2124,Thiago Moises,19,8,0,5' 9,1,2.5,41,4.12,53,1.34,35,53,1.2
2125,Muhammad Mokaev,13,0,0,5' 7,1,1.61,45,1.35,57,5.29,41,25,0.8
2126,Ashkan Mokhtarian,13,3,0,5' 6,3,1.95,43,3.66,43,0.54,16,33,0
2127,Suman Mokhtarian,8,5,0,5' 8,1,2.21,43,6.85,48,0,0,0,0
2128,Dan Molina,13,9,0,5' 10,0,0,0,5.58,60,0,0,0,20.9
2129,Jeff Molina,11,2,0,5' 6,1,7.25,48,5.04,55,0,0,66,0
2130,Hidetaka Monma,18,11,4,6' 0,1,1.67,25,9.76,34,0,0,0,0
2131,Jeff Monson,60,26,1,5' 9,1,0.97,30,2.87,59,1.06,12,66,0.7
2132,Darrell Montague,13,5,0,5' 6,3,1.92,25,5.38,52,0.72,25,33,1.4
2133,Augusto Montano,15,3,0,6' 1,1,3.46,46,2.66,56,0,0,66,0
2134,Erick Montano,7,5,0,6' 0,1,2.79,44,2.06,64,2.29,36,66,0
2135,Nicco Montano,5,3,0,5' 5,3,5.6,41,4.43,64,2.25,54,69,0.4
2136,Antonio Monteiro,17,5,1,5' 7,1,3.93,49,8.33,33,1,33,66,1
2137,Alberto Montes,11,1,0,5' 7,1,4.98,66,4.85,57,0,0,66,9.8
2138,Steve Montgomery,9,5,0,6' 4,3,4.85,39,4.12,47,0,0,64,0
2139,James Moontasri,9,5,0,5' 10,2,2.39,48,3.86,40,0,0,79,0.2
2140,Homer Moore,26,9,2,5' 10,1,0.68,50,0.68,0,5.07,66,0,0
2141,Todd Moore,16,7,0,5' 9,3,1.83,26,2.3,57,0.78,14,54,0
2142,Nate Moore,8,4,0,6' 0,0,2.21,25,2.87,42,1.23,16,25,0
2143,Taylor Moore,10,5,0,5' 10,3,0.2,75,2.07,42,0,0,25,0
2144,Sergio Moraes,14,6,1,6' 0,1,2.42,42,3.73,59,1.2,38,75,0.4
2145,Marlon Moraes,23,10,1,5' 6,1,3.37,40,4.53,54,0.87,41,46,0.3
2146,Sheymon Moraes,11,4,0,5' 8,1,3,42,3.64,63,0,0,53,0
2147,John Moraga,19,7,0,5' 6,1,2.57,43,2.55,56,0.62,23,44,1.1
2148,Ricardo Morais,10,4,1,6' 8,1,2.86,37,2.39,53,0,0,0,0
2149,Leonardo Morales,6,2,0,5' 8,3,2.05,47,2.05,58,0,0,62,0
2150,Albert Morales,7,4,1,5' 9,1,3.81,35,3.96,56,0.91,35,70,0.2
2151,Joseph Morales,9,2,0,5' 6,2,1.58,37,1.72,60,0.53,50,23,2.6
2152,Vince Morales,16,8,0,5' 7,1,3.98,36,4.48,53,0.36,30,65,0
2153,Omar Morales,11,4,0,5' 11,1,3.42,40,3.18,58,0.46,100,63,0
2154,Michael Morales,17,0,0,6' 0,1,5.42,48,3.42,52,1.16,41,92,0
2155,Sarah Moras,6,8,0,5' 7,1,2.28,34,3.58,50,0.67,21,33,0.8
2156,Christian Morecraft,8,3,0,6' 6,1,2.82,34,2.46,46,3.26,66,50,2.2
2157,Richardson Moreira,7,4,0,6' 2,1,1.17,28,1.83,67,0,0,100,0
2158,Gisele Moreira,8,3,0,5' 6,1,5.93,42,6.33,48,4,57,0,0
